1,0,0.0020,0.5920
1,1,0.0020,0.5920
1,2,0.0020,0.5920
1,3,0.0020,0.5920
1,4,0.0020,0.5920
1,5,0.0020,0.5920
2,6,0.0520,0.7700
2,7,0.0520,0.7700
2,8,0.0520,0.7700
2,9,0.0520,0.7700
2,10,0.0520,0.7700
3,11,0.3540,0.8910
3,12,0.3540,0.8910
3,13,0.3540,0.8910
3,14,0.3540,0.8910
3,15,0.3540,0.8910
4,16,0.8090,0.9140
4,17,0.8090,0.9140
4,18,0.8090,0.9140
4,19,0.8090,0.9140
4,20,0.8090,0.9140
5,21,0.9830,0.8900
5,22,0.9830,0.8900
5,23,0.9830,0.8900
5,24,0.9830,0.8900
5,25,0.9830,0.8900
6,26,1.0000,0.8650
6,27,1.0000,0.8650
6,28,1.0000,0.8650
6,29,1.0000,0.8650
6,30,1.0000,0.8650
7,31,0.9990,0.8400
7,32,0.9990,0.8400
7,33,0.9990,0.8400
7,34,0.9990,0.8400
7,35,0.9990,0.8400
8,36,0.9700,0.8120
8,37,0.9700,0.8120
8,38,0.9700,0.8120
8,39,0.9700,0.8120
8,40,0.9700,0.8120
9,41,0.7340,0.7810
9,42,0.7340,0.7810
9,43,0.7340,0.7810
9,44,0.7340,0.7810
9,45,0.7340,0.7810
10,46,0.2660,0.7450
10,47,0.2660,0.7450
10,48,0.2660,0.7450
10,49,0.2660,0.7450
10,50,0.2660,0.7450
11,51,0.0300,0.7000
11,52,0.0300,0.7000
11,53,0.0300,0.7000
11,54,0.0300,0.7000
11,55,0.0300,0.7000
12,56,0.0010,0.6410
12,57,0.0010,0.6410
12,58,0.0010,0.6410
12,59,0.0010,0.6410
12,60,0.0010,0.6410
13,61,0.0000,0.5650
13,62,0.0000,0.5650
13,63,0.0000,0.5650
13,64,0.0000,0.5650
13,65,0.0000,0.5650
14,66,0.0000,0.4660
14,67,0.0000,0.4660
14,68,0.0000,0.4660
14,69,0.0000,0.4660
14,70,0.0000,0.4660
15,71,0.0000,0.3440
15,72,0.0000,0.3440
15,73,0.0000,0.3440
15,74,0.0000,0.3440
15,75,0.0000,0.3440
16,76,0.0000,0.2130
16,77,0.0000,0.2130
16,78,0.0000,0.2130
16,79,0.0000,0.2130
16,80,0.0000,0.2130
17,81,0.0000,0.0980
17,82,0.0000,0.0980
17,83,0.0000,0.0980
17,84,0.0000,0.0980
17,85,0.0000,0.0980
18,86,0.0000,0.0000
18,87,0.0000,0.0000
18,88,0.0000,0.0000
18,89,0.0000,0.0000
18,90,0.0000,0.0000
